OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
1,228,THA,Thailand,1,Amnat Charoen,TH.AC,NA,37,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2D><U+0E33><U+0E19><U+0E32><U+0E08><U+0E40><U+0E08><U+0E23><U+0E34><U+0E0D>,
2,228,THA,Thailand,2,Ang Thong,TH.AT,NA,15,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2D><U+0E48><U+0E32><U+0E07><U+0E17><U+0E2D><U+0E07>,
3,228,THA,Thailand,3,Bangkok Metropolis,TH.BM,NA,10,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E40><U+0E0A><U+0E35><U+0E22><U+0E07><U+0E43><U+0E2B><U+0E21><U+0E48>,Bangkok|Krung Thep|Krung Thep Maha Nakhon|Phra Nakhon-Thonburi
4,228,THA,Thailand,4,Bueng Kan,TH.BK,NA,,Changwat,Province,<U+0E1A><U+0E36><U+0E07><U+0E01><U+0E32><U+0E2C>,
5,228,THA,Thailand,5,Buri Ram,TH.BR,NA,31,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1A><U+0E38><U+0E23><U+0E35><U+0E23><U+0E31><U+0E21><U+0E22><U+0E4C>,Buri Rum
6,228,THA,Thailand,6,Chachoengsao,TH.CC,NA,24,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E09><U+0E30><U+0E40><U+0E0A><U+0E34><U+0E07><U+0E40><U+0E17><U+0E23><U+0E32>,Chaxerngsao|Pad Rew|Paed Riu|Petrieu|Shajeun Dhrao
7,228,THA,Thailand,7,Chai Nat,TH.CN,NA,18,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E0A><U+0E31><U+0E22><U+0E19><U+0E32><U+0E17>,Chainat
8,228,THA,Thailand,8,Chaiyaphum,TH.CY,NA,36,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E0A><U+0E31><U+0E22><U+0E19><U+0E32><U+0E17>,
9,228,THA,Thailand,9,Chanthaburi,TH.CT,NA,,Changwat,Province,<U+0E08><U+0E31><U+0E19><U+0E17><U+0E1A><U+0E38><U+0E23><U+0E35>,Chantaburi|Muang Chan
10,228,THA,Thailand,10,Chiang Mai,TH.CM,NA,50,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E40><U+0E0A><U+0E35><U+0E22><U+0E07><U+0E43><U+0E2B><U+0E21><U+0E48>,
11,228,THA,Thailand,11,Chiang Rai,TH.CR,NA,57,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E40><U+0E0A><U+0E35><U+0E22><U+0E07><U+0E23><U+0E32><U+0E22>,
12,228,THA,Thailand,12,Chon Buri,TH.CB,NA,20,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E0A><U+0E25><U+0E1A><U+0E38><U+0E23><U+0E35>,
13,228,THA,Thailand,13,Chumphon,TH.CP,NA,86,Changwat,Province,<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E0A><U+0E38><U+0E21><U+0E1E><U+0E23>,
