"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman","TH.AC.CH",NA,"3702","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E0A><U+0E32><U+0E19><U+0E38><U+0E21><U+0E32><U+0E19>",""
2,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan","TH.AC.HU",NA,"3706","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E2B><U+0E31><U+0E27><U+0E15><U+0E30><U+0E1E><U+0E32><U+0E19>",""
3,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat","TH.AC.LU",NA,"3707","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E25><U+0E37><U+0E2D><U+0E2D><U+0E33><U+0E19><U+0E32><U+0E08>",""
4,228,"THA","Thailand",1,"Amnat Charoen",4,"Muang Amnat Charoen","TH.AC.AM",NA,"3701","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E2D><U+0E33><U+0E19><U+0E32><U+0E08><U+0E40><U+0E08><U+0E23><U+0E34><U+0E0D>",""
5,228,"THA","Thailand",1,"Amnat Charoen",5,"Pathum Ratwongsa","TH.AC.PA",NA,"3703","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1B><U+0E17><U+0E38><U+0E21><U+0E23><U+0E32><U+0E0A><U+0E27><U+0E07><U+0E28><U+0E32>",""
6,228,"THA","Thailand",1,"Amnat Charoen",6,"Phana","TH.AC.PH",NA,"3704","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1E><U+0E19><U+0E32>",""
7,228,"THA","Thailand",1,"Amnat Charoen",7,"Senangkhanikhom","TH.AC.SE",NA,"3705","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E2A><U+0E19><U+0E32><U+0E07><U+0E04><U+0E19><U+0E34><U+0E04><U+0E21>",""
8,228,"THA","Thailand",2,"Ang Thong",8,"Chaiyo","TH.AT.CH",NA,"1502","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E44><U+0E0A><U+0E42><U+0E22>",""
9,228,"THA","Thailand",2,"Ang Thong",9,"Muang Ang Thong","TH.AT.AN",NA,"1501","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E2D><U+0E48><U+0E32><U+0E07><U+0E17><U+0E2D><U+0E07>",""
10,228,"THA","Thailand",2,"Ang Thong",10,"Pa Mok","TH.AT.PA",NA,"1503","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1B><U+0E48><U+0E32><U+0E42><U+0E21><U+0E01>",""
11,228,"THA","Thailand",2,"Ang Thong",11,"Pho Thong","TH.AT.PH",NA,"1504","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E42><U+0E1E><U+0E18><U+0E34><U+0E4C><U+0E17><U+0E2D><U+0E07>",""
12,228,"THA","Thailand",2,"Ang Thong",12,"Samko","TH.AT.SA",NA,"1507","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E2A><U+0E32><U+0E21><U+0E42><U+0E01><U+0E49>",""
13,228,"THA","Thailand",2,"Ang Thong",13,"Sawaengha","TH.AT.SH",NA,"1505","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E41><U+0E2A><U+0E27><U+0E07><U+0E2B><U+0E32>",""
14,228,"THA","Thailand",2,"Ang Thong",14,"Wiset Chai Chan","TH.AT.WI",NA,"1506","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E27><U+0E34><U+0E40><U+0E28><U+0E29><U+0E0A><U+0E31><U+0E22><U+0E0A><U+0E32><U+0E0D>",""
15,228,"THA","Thailand",3,"Bangkok Metropolis",15,"Bang Bon","TH.BM.BO",NA,"1050","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E1A><U+0E2D><U+0E19>",""
16,228,"THA","Thailand",3,"Bangkok Metropolis",16,"Bang Kapi","TH.BM.KP",NA,"1006","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E01><U+0E30><U+0E1B>",""
17,228,"THA","Thailand",3,"Bangkok Metropolis",17,"Bang Khae","TH.BM.KA",NA,"1040","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E41><U+0E04>",""
18,228,"THA","Thailand",3,"Bangkok Metropolis",18,"Bang Khen","TH.BM.KE",NA,"1005","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E40><U+0E02><U+0E19>",""
19,228,"THA","Thailand",3,"Bangkok Metropolis",19,"Bang Kho Laem","TH.BM.KL",NA,"1031","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E04><U+0E2D><U+0E41><U+0E2B><U+0E25><U+0E21>",""
20,228,"THA","Thailand",3,"Bangkok Metropolis",20,"Bang Na","TH.BM.NA",NA,"1047","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E19><U+0E32>",""
21,228,"THA","Thailand",3,"Bangkok Metropolis",21,"Bang Plad","TH.BM.PH",NA,"1025","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E1E><U+0E25><U+0E31><U+0E14>","Bang Phlat"
22,228,"THA","Thailand",3,"Bangkok Metropolis",22,"Bang Rak","TH.BM.RA",NA,"1004","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E23><U+0E31><U+0E01>",""
23,228,"THA","Thailand",3,"Bangkok Metropolis",23,"Bang Su","TH.BM.SU",NA,"1029","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E0B><U+0E37><U+0E48><U+0E2D>","Bang Sue"
24,228,"THA","Thailand",3,"Bangkok Metropolis",24,"Bangkhuntien","TH.BM.KT",NA,"1021","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E02><U+0E38><U+0E19><U+0E40><U+0E17><U+0E35><U+0E22><U+0E19>","Bang Khun Thian"
25,228,"THA","Thailand",3,"Bangkok Metropolis",25,"Bangkok Noi","TH.BM.BN",NA,"1020","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E01><U+0E2D><U+0E01><U+0E19><U+0E49><U+0E2D><U+0E22>",""
26,228,"THA","Thailand",3,"Bangkok Metropolis",26,"Bangkok Yai","TH.BM.BY",NA,"1016","Khet","District","<U+0E1A><U+0E32><U+0E07><U+0E01><U+0E2D><U+0E01><U+0E43><U+0E2B><U+0E0D><U+0E48>",""
27,228,"THA","Thailand",3,"Bangkok Metropolis",27,"Bung Kum","TH.BM.BK",NA,"1027","Khet","District","<U+0E1A><U+0E36><U+0E07><U+0E01><U+0E38><U+0E48><U+0E21>","Bueng Kum"
28,228,"THA","Thailand",3,"Bangkok Metropolis",28,"Chatuchak","TH.BM.CH",NA,"1030","Khet","District","<U+0E08><U+0E15><U+0E38><U+0E08><U+0E31><U+0E01><U+0E23>",""
29,228,"THA","Thailand",3,"Bangkok Metropolis",29,"Chom Thong","TH.BM.CT",NA,"1035","Khet","District","<U+0E08><U+0E2D><U+0E21><U+0E17><U+0E2D><U+0E07>",""
30,228,"THA","Thailand",3,"Bangkok Metropolis",30,"Din Dang","TH.BM.DI",NA,"1026","Khet","District","<U+0E14><U+0E34><U+0E19><U+0E41><U+0E14><U+0E07>","Din Daeng"
31,228,"THA","Thailand",3,"Bangkok Metropolis",31,"Don Muang","TH.BM.DO",NA,"1036","Khet","District","<U+0E14><U+0E2D><U+0E19><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07>","Don Mueang"
32,228,"THA","Thailand",3,"Bangkok Metropolis",32,"Dusit","TH.BM.DU",NA,"1002","Khet","District","<U+0E14><U+0E38><U+0E2A><U+0E34><U+0E15>",""
33,228,"THA","Thailand",3,"Bangkok Metropolis",33,"Huai Kwang","TH.BM.HU",NA,"1017","Khet","District","<U+0E2B><U+0E49><U+0E27><U+0E22><U+0E02><U+0E27><U+0E32><U+0E07>",""
34,228,"THA","Thailand",3,"Bangkok Metropolis",34,"Khan Na Yao","TH.BM.KY",NA,"1043","Khet","District","<U+0E04><U+0E31><U+0E19><U+0E19><U+0E32><U+0E22><U+0E32><U+0E27>",""
35,228,"THA","Thailand",3,"Bangkok Metropolis",35,"Khlong Sam Wa","TH.BM.KW",NA,"1046","Khet","District","<U+0E04><U+0E25><U+0E2D><U+0E07><U+0E2A><U+0E32><U+0E21><U+0E27><U+0E32>",""
36,228,"THA","Thailand",3,"Bangkok Metropolis",36,"Khlong San","TH.BM.KS",NA,"1018","Khet","District","<U+0E04><U+0E25><U+0E2D><U+0E07><U+0E2A><U+0E32><U+0E19>",""
37,228,"THA","Thailand",3,"Bangkok Metropolis",37,"Khlong Toey","TH.BM.KH",NA,"1033","Khet","District","<U+0E04><U+0E25><U+0E2D><U+0E07><U+0E40><U+0E15><U+0E22>","Khlong Toei"
38,228,"THA","Thailand",3,"Bangkok Metropolis",38,"Lak Si","TH.BM.LS",NA,"1041","Khet","District","<U+0E2B><U+0E25><U+0E31><U+0E01><U+0E2A>",""
39,228,"THA","Thailand",3,"Bangkok Metropolis",39,"Lat Krabang","TH.BM.LK",NA,"1011","Khet","District","<U+0E25><U+0E32><U+0E14><U+0E01><U+0E23><U+0E30><U+0E1A><U+0E31><U+0E07>",""
40,228,"THA","Thailand",3,"Bangkok Metropolis",40,"Lat Phrao","TH.BM.LP",NA,"1038","Khet","District","<U+0E25><U+0E32><U+0E14><U+0E1E><U+0E23><U+0E49><U+0E32><U+0E27>",""
41,228,"THA","Thailand",3,"Bangkok Metropolis",41,"Min Buri","TH.BM.MI",NA,"1010","Khet","District","<U+0E21><U+0E35><U+0E19><U+0E1A><U+0E38><U+0E23><U+0E35>",""
42,228,"THA","Thailand",3,"Bangkok Metropolis",42,"Nong Chok","TH.BM.NC",NA,"1003","Khet","District","<U+0E2B><U+0E19><U+0E2D><U+0E07><U+0E08><U+0E2D><U+0E01>",""
43,228,"THA","Thailand",3,"Bangkok Metropolis",43,"Nongkheam","TH.BM.NK",NA,"1023","Khet","District","<U+0E2B><U+0E19><U+0E2D><U+0E07><U+0E41><U+0E02><U+0E21>","Nong Khaem"
44,228,"THA","Thailand",3,"Bangkok Metropolis",44,"Pathum Wan","TH.BM.PA",NA,"1007","Khet","District","<U+0E1B><U+0E17><U+0E38><U+0E21><U+0E27><U+0E31><U+0E19>",""
45,228,"THA","Thailand",3,"Bangkok Metropolis",45,"Phasi Charoen","TH.BM.PC",NA,"1022","Khet","District","<U+0E20><U+0E32><U+0E29><U+0E35><U+0E40><U+0E08><U+0E23><U+0E34><U+0E0D>",""
46,228,"THA","Thailand",3,"Bangkok Metropolis",46,"Phaya Thai","TH.BM.PT",NA,"1014","Khet","District","<U+0E1E><U+0E0D><U+0E32><U+0E44><U+0E17>",""
47,228,"THA","Thailand",3,"Bangkok Metropolis",47,"Phra Nakhon","TH.BM.PN",NA,"1001","Khet","District","<U+0E1E><U+0E23><U+0E30><U+0E19><U+0E04><U+0E23>",""
48,228,"THA","Thailand",3,"Bangkok Metropolis",48,"Pom Pram Sattru","TH.BM.PP",NA,"1008","Khet","District","<U+0E1B><U+0E49><U+0E2D><U+0E21><U+0E1B><U+0E23><U+0E32><U+0E1A><U+0E28><U+0E31><U+0E15><U+0E23><U+0E39><U+0E1E><U+0E48><U+0E32><U+0E22>","Pom Pram Sattru Phai"
49,228,"THA","Thailand",3,"Bangkok Metropolis",49,"Prakanong","TH.BM.PK",NA,"1009","Khet","District","<U+0E1E><U+0E23><U+0E30><U+0E42><U+0E02><U+0E19><U+0E07>",""
50,228,"THA","Thailand",3,"Bangkok Metropolis",50,"Prawet","TH.BM.PR",NA,"1032","Khet","District","<U+0E1B><U+0E23><U+0E30><U+0E40><U+0E27><U+0E28>",""
51,228,"THA","Thailand",3,"Bangkok Metropolis",51,"Rat Burana","TH.BM.RB",NA,"1024","Khet","District","<U+0E23><U+0E32><U+0E29><U+0E0E><U+0E23><U+0E4C><U+0E1A><U+0E39><U+0E23><U+0E13><U+0E30>",""
52,228,"THA","Thailand",3,"Bangkok Metropolis",52,"Ratchathewi","TH.BM.RT",NA,"1037","Khet","District","<U+0E23><U+0E32><U+0E0A><U+0E40><U+0E17><U+0E27><U+0E35>","Rat Thewi"
53,228,"THA","Thailand",3,"Bangkok Metropolis",53,"Sai Mai","TH.BM.SM",NA,"1042","Khet","District","<U+0E2A><U+0E32><U+0E22><U+0E44><U+0E2B><U+0E21>",""
54,228,"THA","Thailand",3,"Bangkok Metropolis",54,"Samphantawong","TH.BM.SA",NA,"1013","Khet","District","<U+0E2A><U+0E31><U+0E21><U+0E1E><U+0E31><U+0E19><U+0E18><U+0E27><U+0E07><U+0E28><U+0E4C>",""
55,228,"THA","Thailand",3,"Bangkok Metropolis",55,"Saphan Sung","TH.BM.SS",NA,"1044","Khet","District","<U+0E2A><U+0E30><U+0E1E><U+0E32><U+0E19><U+0E2A><U+0E39><U+0E07>",""
