"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",1,"Hua Taphan",NA,"","Tambon","Sub district","",""
2,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",2,"Kham Phra",NA,"","Tambon","Sub district","",""
3,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",3,"Kheng Yai",NA,"","Tambon","Sub district","",""
4,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",4,"Sang Tho Noi",NA,"","Tambon","Sub district","",""
5,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",5,"Chik Du",NA,"","Tambon","Sub district","",""
6,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",6,"Hua Taphan",NA,"","Tambon","Sub district","",""
7,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",7,"Kham Phra",NA,"","Tambon","Sub district","",""
8,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",8,"Kheng Yai",NA,"","Tambon","Sub district","",""
9,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",9,"Nong Kaeo",NA,"","Tambon","Sub district","",""
10,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",10,"Phon Mueang Noi",NA,"","Tambon","Sub district","",""
11,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",11,"Rattanawari",NA,"","Tambon","Sub district","","Rattang Wari"
12,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",12,"Sang Tho Noi",NA,"","Tambon","Sub district","",""
13,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",13,"Khum Yai",NA,"","Tambon","Sub district","",""
14,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",14,"Lao Phruan",NA,"","Tambon","Sub district","",""
15,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",15,"Na Phu",NA,"","Tambon","Sub district","",""
